"Guid","AccountId","Amount","CloseDate","ContactId","Description","ForecastCategoryName","LeadSource","Name","NextStep","Probability","SBQQ__Contracted__c","SBQQ__CreateContractedPrices__c","SBQQ__OrderGroupID__c","SBQQ__Ordered__c","SBQQ__PrimaryQuote__c","SBQQ__QuotePricebookId__c","SBQQ__Renewal__c","StageName","Type","sbaa__ApprovalStatus__c","sbaa__ApprovalStep__c","sbaa__StepApproved__c","sbaa__SubmittedDate__c"
001198b6-ded8-40f2-9ec9-cd02db432407,9c080cfa-4141-496d-b833-49bb8d8a1648,34350.0,2022-09-20,"#N/A","#N/A",Pipeline,"#N/A",Yodel - Cross-sell,"#N/A",75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
00cd9532-ed89-43aa-8be3-498453db7cbf,1ec20c72-c594-423e-9464-5433a92d0b82,32395.00000002,2022-08-21,"#N/A","#N/A",Closed,"#N/A",Shufflester - Secondary Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
0180a5c3-5efc-4216-a59d-36215e65b763,a3651e89-2801-4280-b140-9ca17f921d4e,72395.0,2022-10-27,"#N/A","#N/A",Pipeline,"#N/A",Aibox - Initial Sale,"#N/A",50.0,false,false,"#N/A",false,"#N/A","#N/A",false,Value Proposition,"#N/A","#N/A","#N/A",false,"#N/A"
02d9aa9a-89f6-46b9-b53c-ae5d8bb1828b,dc9ba173-8fe8-4fe3-b271-70a38d70e174,72395.0,2022-04-07,"#N/A","#N/A",Omitted,"#N/A",Fiveclub - Initial Sale,"#N/A",0.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Lost,"#N/A","#N/A","#N/A",false,"#N/A"
03029ce0-be63-496c-b730-9fdfaba42a13,5adefe42-afa6-4c90-8535-f9658ec2db2f,75000.0,2022-12-25,"#N/A","#N/A",Pipeline,"#N/A",Browsedrive - Upsell,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A",false,"#N/A"
038e04ab-312b-4af1-8182-3d5c5a316c72,19c2ee09-91dc-4825-9275-aedf76442412,3200.0,2022-10-16,"#N/A","#N/A",Pipeline,"#N/A",Feedbug - Additional Sale,"#N/A",50.0,false,false,"#N/A",false,"#N/A","#N/A",false,Value Proposition,"#N/A","#N/A","#N/A",false,"#N/A"
03d9dcf7-67a4-4e05-907a-b4bad12d7c19,6a45427d-14a8-4d24-b184-ea50cefa3b04,72395.0,2022-04-07,"#N/A","#N/A",Omitted,"#N/A",Edgepulse - Initial Sale,"#N/A",0.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Lost,"#N/A","#N/A","#N/A",false,"#N/A"
03e0f3dc-292d-4569-b4f9-ac04c6a6ddc4,7eee1436-3087-475c-b191-344f20c4ad0c,32395.00000002,2022-08-21,"#N/A","#N/A",Closed,"#N/A",Fanoodle - Secondary Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
0471cd6e-5f44-4085-9648-1647845cb098,7220021b-8182-4104-98fb-b7fbff6e0e44,32395.00000002,2022-08-21,"#N/A","#N/A",Closed,"#N/A",Pixoboo - Secondary Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
04a549de-9eff-4af5-b1d5-67aeb42169f8,8685816f-a27e-44fe-b58f-0b3114948a2c,72395.0,2022-04-07,"#N/A","#N/A",Omitted,"#N/A",Dynazzy - Initial Sale,"#N/A",0.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Lost,"#N/A","#N/A","#N/A",false,"#N/A"
04d5e046-0e76-4304-bcd7-a556e5835ccb,e560e148-d6c6-4e83-a2be-83575d3789fb,72395.0,2022-04-07,"#N/A","#N/A",Omitted,"#N/A",Wikibox - Initial Sale,"#N/A",0.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Lost,"#N/A","#N/A","#N/A",false,"#N/A"
05096e63-9d79-4b34-beff-76c49efbbbdc,3ce819b4-3c76-44a9-832d-2bd3d2ff8de5,32395.00000002,2022-08-21,"#N/A","#N/A",Closed,"#N/A",Yamia - Secondary Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
055b6c5f-d6aa-42e2-9061-55f0c0d9550d,f38abd17-d193-42e8-88c6-54a6a28581d7,72395.0,2022-04-07,"#N/A","#N/A",Omitted,"#N/A",Thoughtworks - Initial Sale,"#N/A",0.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Lost,"#N/A","#N/A","#N/A",false,"#N/A"
05b3e2d7-1b1e-4bc6-ad03-81af38b01b95,1cbe18e4-516c-450b-8b50-fc2fbc1b795a,20000.0,2020-07-11,"#N/A",The deal is at 10% because they are at the sales process stage of evaluating just being converted from a lead.  No formal sales engagement has taken place yet.,Pipeline,Word of mouth,Acme - 200 Widgets,Need estimate,10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Prospecting,Existing Business,"#N/A","#N/A",false,"#N/A"
05e6466a-7cd3-4026-9bd2-54afe00b39da,75c0d53e-2305-42f8-960e-5422e74a1756,72395.0,2022-10-27,"#N/A","#N/A",Pipeline,"#N/A",Trunyx - Initial Sale,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Prospecting,"#N/A","#N/A","#N/A",false,"#N/A"
06d44a30-cab1-4bb4-bb1e-66b891573676,243d9a06-27f3-46d4-a40e-e9b3ca064c6d,72395.0,2022-04-07,"#N/A","#N/A",Omitted,"#N/A",Pixonyx - Initial Sale,"#N/A",0.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Lost,"#N/A","#N/A","#N/A",false,"#N/A"
06f22880-479f-4904-a1d0-e31bf590d8ae,dd473e33-1f6b-42b7-a337-96267e991e5c,72395.0,2022-04-07,"#N/A","#N/A",Omitted,"#N/A",Edgeclub - Initial Sale,"#N/A",0.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Lost,"#N/A","#N/A","#N/A",false,"#N/A"
0719508e-4376-4553-90db-a13fd5cf1eee,a359a09c-a282-4f16-8709-11a17c9446e3,22975.0,2022-11-04,"#N/A","#N/A",Pipeline,"#N/A",Divavu - Cross-sell,"#N/A",75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
